puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
8,easy,min_conflicts,7,7,True,4307.846,0,0,0,2031,2,2026,solved
8,easy,min_conflicts,8,8,True,74.33,0,0,0,46,0,46,solved
8,easy,min_conflicts,9,9,True,1887.794,0,0,0,1087,1,1084,solved
9,easy,min_conflicts,0,0,True,161.621,0,0,0,88,0,88,solved
9,easy,min_conflicts,1,1,True,85.397,0,0,0,31,0,31,solved
9,easy,min_conflicts,2,2,True,65.046,0,0,0,31,0,31,solved
9,easy,min_conflicts,3,3,True,62.489,0,0,0,38,0,38,solved
9,easy,min_conflicts,4,4,True,56.04,0,0,0,42,0,42,solved
9,easy,min_conflicts,5,5,True,38.592,0,0,0,31,0,31,solved
9,easy,min_conflicts,6,6,True,21.793,0,0,0,18,0,18,solved
9,easy,min_conflicts,7,7,True,70.717,0,0,0,60,0,60,solved
9,easy,min_conflicts,8,8,True,50.43,0,0,0,39,0,39,solved
9,easy,min_conflicts,9,9,True,53.624,0,0,0,42,0,42,solved
10,easy,min_conflicts,0,0,True,23.652,0,0,0,17,0,17,solved
10,easy,min_conflicts,1,1,True,123.896,0,0,0,78,0,78,solved
10,easy,min_conflicts,2,2,True,151.323,0,0,0,101,0,100,solved
10,easy,min_conflicts,3,3,True,347.314,0,0,0,341,0,341,solved
10,easy,min_conflicts,4,4,True,1352.927,0,0,0,1054,1,1054,solved
10,easy,min_conflicts,5,5,True,201.174,0,0,0,154,0,154,solved
10,easy,min_conflicts,6,6,True,651.669,0,0,0,614,0,614,solved
10,easy,min_conflicts,7,7,True,1213.434,0,0,0,1025,1,1025,solved
10,easy,min_conflicts,8,8,True,1595.695,0,0,0,1188,1,1188,solved
10,easy,min_conflicts,9,9,True,258.562,0,0,0,148,0,148,solved
11,medium,min_conflicts,0,0,True,299.423,0,0,0,166,0,166,solved
11,medium,min_conflicts,1,1,True,78.181,0,0,0,46,0,46,solved
11,medium,min_conflicts,2,2,True,1592.365,0,0,0,1067,1,1067,solved
11,medium,min_conflicts,3,3,True,3644.405,0,0,0,2139,2,2139,solved
11,medium,min_conflicts,4,4,True,1767.842,0,0,0,1212,1,1212,solved
